authorId,authorProfile,author,dateCreated,text
100006914282526,https://www.facebook.com/amine.elkarim1,Àmine ElKarim,2022-10-15T16:44:28.000Z,ناس مبقاتش كتقنع انا شخصيا كنتخلص غير 2000 درهم شهر و مزوج واكل شارب ناعس حيت كنعرف نسير راسي و انا حاليا كنحس براسي فالطريق الصحيح الى السجن
100010581552781,https://www.facebook.com/rachid.hariti.56,Rachid Hariti,2022-10-15T20:35:38.000Z,حاليا تايبان لك الشهر طويل غير تشدك البنكة ويتم التوقيع على القرض يولي الشهر فيه 3ايام انتي توصلي للدار وهما يتصلو بك  لدفع الربا الشهرية وهكذا دواليك 30سنة   الله سهل على الجميع في ما يحبه الله ويرضاه
100000995209629,,Redouane Farhane,2022-10-15T18:32:52.000Z,الصالير عندك دغيا كيطير بحالو بحال الريحة اللي كتبيعو!!
100069312912893,https://www.facebook.com/people/Ikram-Mk/100069312912893/,Ikram Mk,2022-10-15T20:28:15.000Z,انت مشنوقا غتزيدي تشنقي راسك صالير ديالك على قدك اختي الكريمة الحمد لله الى كان تيقدك فمستلزماتك راه لاباس عليك
100003393090464,,Taoufik Hamidi,2022-10-15T15:42:39.000Z,الانسان هو يكون عندو طموح... ماشي عيب 0 درهم..العيب هو تفكر كيفاش تشري شقة بداك 0 درهم
100011701619107,,Yassine Akaiouass,2022-10-15T18:15:27.000Z,"حسبيها بالعقل:
- يلا كان البنك يتسلفك خاصك 30 سنة ديال الخلاص .
-من بعد هاد الثلاثين سنة ديال الخلاص واش  كيبان لك انكي غادي تربحي شي حاجة ؟ 
- بحال يلا كتخلصي الكراء الفرق الوحيد هو انك خلصتيه حرام.
-مع تكملي الخلاص مع  تلاقاي  مع الدار ديال بصح دار البقاء."
100000506536516,,ᎻᎯᏚᏚᎯᏁ ᎠᏚᏚᎯᎷ,2022-10-15T16:30:37.000Z,بعد المرة كنقرى شي منشورات عقلي كيوقف.تا كيفاش كتشيطي 0 درهم وغادفعي فشقة أش غادفعي مثلا؟
100038529258864,,غطرستي سر سعادتي,2022-10-15T15:36:05.000Z,ربي من جاتك فكرة التوفير؟
1360692861,,Rachid Ztn,2022-10-15T16:52:49.000Z,لو عدنا لسنوات السبعينات لما سمعنا سيدة تبحث عن شقة للسكن، في ذلك الوقت كانت السيدات متزوجات في بيوتهن و أزواجهم من يتكلفون بشؤون الأسرة . فقط للتأمل.
100004673310455,https://www.facebook.com/maryama.agadir.39,Mariam Ousaid,2022-10-15T15:23:18.000Z,2500 درهم + مكايشيط ليك منها والو + باغا دفعي فشقة = لوجيك ⁉️
1183262893,https://www.facebook.com/drmostafa64,د.مصطفى أبوسعد,2022-10-15T16:03:11.000Z,بامكانك تتزوج وتقتني منزلا باذن الله وتذكر ان الله يرزق من فضله ويرزق الانسان من حيث لا يحتسب
100008308658460,https://www.facebook.com/people/Ouss-Haouat-Muller/100008308658460/,Ouss Haouat Muller,2022-10-15T15:03:20.000Z,غا بلاش اخويا صبر و حاول تطور من راسك عاد تزوج حيت هاد الصالير ايكمل فالسيمانة اللولة بالكوش و الحليب و الكرا.. و ديك اللعبة ديال القناعة و الرزق كيجي من بعد غا هضرة كيروجوها صحاب الشكارة و الأنظمة باش ماتديرش ليهم ثورة و تبقا راضي بالوضعية
100084645559029,https://www.facebook.com/people/Yassine-Ibzague/100084645559029/,Yassine Ibzague,2022-10-15T16:37:56.000Z,للأسف الخدمة داوها النساء كتسمعهم خدامين ب 7000 و 8000 درهم في حين الرجل خدام ب 3000 وباغي اكون أسرة كولشي ولا بالمقلوب للأسف نسأل الله السلامة والعافية
100000749428365,https://www.facebook.com/fatimazahra.bentabet,Fatima Zahra Bentabet,2022-10-15T17:14:23.000Z,"ماشي خطاب عاطفي 
منين كتكون النية فالزواج و الرزق الحلال و شي بنت الناس كلشي ممكن
ومن يتق الله يجعل له مخرجا ويرزقه من حيث لا يحتسب"
1847737312,,عبد الوكيل بن تاشفين,2022-10-15T16:21:54.000Z,الا نزل ليك الله البركة دير أكثر ،انما نقول الحقيقة الزواج راه ضروري ولكن السكن ماشي ضروري اخي توكل على الله ونوي الخير واحسن الظن بالله ترى مالاتتخيله
100040948519825,https://www.facebook.com/people/%D9%8A%D9%88%D8%B3%D9%81-%D9%85%D8%AD%D9%81%D9%88%D8%B8/100040948519825/,يوسف محفوظ,2022-10-15T16:36:47.000Z,بين ليلة وضحاها يصبح الغني فقيرا والفقير غنيا... توكل على الله وتحصن من الفتن وتزوج بنية الرزق وابحث عن  عفيفة قنوعة وعيش على قدك وحاول تجتهد وتبحث عن مصدر رزق أفضل وتذكر دائما قوله تعالى وفي السماء رزقكم وما توعدون
100000170026268,https://www.facebook.com/lamyae.esseddiki,Lamyae Esseddiki,2022-10-15T16:09:46.000Z,"يلا فكرت فالحلال الله عادي يسهل عليك ويسر لك كل صعب قال تعالى :""ومن يتق الله يجعل له مخرجا ويرزقه من حيث لم يحتسب"""
100010826644747,https://www.facebook.com/people/%D9%81%D8%A7%D8%B7%D9%85%D8%A9-%D8%A7%D9%84%D8%B2%D9%87%D8%B1%D8%A7%D8%A1-%D9%82%D8%B5%D8%B7%D8%A7%D9%84/100010826644747/,فاطمة الزهراء قصطال,2022-10-15T15:03:58.000Z,الرزق بيد الله شوف شي بنت الناس تكون خدامة وتعاونو على الزمان ماشي عيب
