text,label
Nik matkom ga3a makch wahad fikom rajal ya zabi tadahko 3la jazayriyin wansito bali hna ga3 khawa hdi liwasa 3lina rasol salah 3lih wasalam قال محمد رسول الله  ستأتي أمتن بعد أمتي فهم إخواني فقال الصحابة ألسنا إخوانك يا رسول   الله  قل لهم أنتم أصحبي وفهم إخواني لنهم لم يروني وسيئمنون بي هل نحنو ئمة محمد عيب علكم وعار 😪😭😭,Racism
اسير تقود راه  عندو صح     تغبن وتحسر على مستقبالك فهاد لبلاد   ام ميسي  قاضي غاراض فقراء دوميغد,Racism
وا راه حاجة باينة بنادم خايف على ميسي لا يضيع كتر من ميسي براسو 😂,not racism
الحقيقة للأسف 🙂,not racism
"هذا فيلم سينمائي حول فساد المرشحين.
سميتو ""غراميات الحاج مختار الصولدي""",not racism
                       فيصل الحجي                         Ilyass Ghafour  ا خوتي ديرو معانا شي حل بغينا اللحم هههه‍هه‍ه,not racism
                  Hicham El Ghait                    Yazid Sedki EL Idrissi  أول مرة تصبرو معانا للتنمر,not racism
"هادي بززززف ...
العفوو",not racism
نعرف بنادم مزوج من msn ,not racism
"مطبع مع اليهودي و يضحك على الجار!!!
روحي يا المغرب روحي بسلامة",Racism
قبل التعاقد : أنا خلصتي ضامنها ضامنها قراو ولا لهلا تقراو لي مافهمش الدرس المشكل منو.. بعد التعاقد : فرضو علينا التعاقد هذا ظلم حنا كانربيو الأجيال.. التعاقد مزيان لأشباه الأساتذة لي كاتبان ليهوم فالمهنة غير هاديك 5000درهم باردة.. وكامل الإحترام للأقلية لي عارفة بقيمة الأستاذ وأخلاقيات المهنة وكاتخدم من نيتها,not racism
و الله يا خويا ماكاينش لي مخلينا حاسين بالضغط النفسي قد البعد ديالنا من الله حتى أنني عارف بعض الناس ماخصهوم حتى خير و مقلقين فاش سولت بنادم غالي فقط ماعارفش كيفاش غادي يتلاقا الله و هو غارق فالذنوب و ماقادرش يحبس منهم,not racism
"لا للتفاهة⁉️       
الصّفر أوّل الأعداد وأكثرها تبسيطا وأشدها شهرة ودهشة واستعمالا وأهميّة وروعة الصفر ذلك الرمز الذي يشير إلى اللاشيء ويعبر عنه باستخدام العلامة (0), هل تتخيل كم عان منه المغاربة0000000 , قوم ابتلانا الله بهم،",Racism
نوبت الستاتي هادي اشريف ممنوع دوبلاج,not racism
الغرو. قاتلك برك عليك الجزائر المغاربة مبقاش عندهم الوقت ليسمعو التفهات اوعندك وحد المتال يجي صوتك بحال باطمة دنيا لا اومطلعناش لها الشان فالمغرب كيطلع لكم الشان اتافهين بحالكم,Racism
واحد نهار كنت نعلب برملة قدام دار وكنت نحلم نشري تيلي فحال دراري وشافني واحد راجل كلية واش تخدم معيا فلحنوت ديالو كتليه مرحبا وجمعت فلوس وشريت تيلي وبقا يتلعلي فيه هاد لخراا كون غي بقيت كنلعب برملة قدام دار طززز👎👎👎,not racism
موقف جميل و عجبتني حركة صاحب الوردي😅😅😅😅😅😅,not racism
                       فيصل الحجي                         Ilyass Ghafour  ا خوتي ديرو معانا شي حل بغينا اللحم هههه‍هه‍ه,not racism
                  Hicham El Ghait                    Yazid Sedki EL Idrissi  أول مرة تصبرو معانا للتنمر,not racism
