text,label
كان ولد الشعب دابا ولا ولد الخشبة ليذهب الى الجحيم ,Racism
                       Mima Samra  شنو بان ليك هههه طفرناه حتى حنى بقا غ انت ,not racism
ماشي شعب ذكي قول شعب نقال حسن !! دارتها تركيا و سحال من دولة من شحال هادا ,Racism
علاه شكون مخترع بطارية الهاتف ياك مغربي و كيفتاخر براسو مغربي.... المشكل فالدولة قامعة بنادم اما كون طلقو ليه اللعب كون صنع المستحيل,not racism
منشور  ديال سعاية👀    لا فرق بينك  وبين  لي   كينشر   صورة  لدجاجة  برأس سمكة 😂  ويكتب ان  لم  تقل سبحان  الله فاعلم  ان الشيطان  قد منعك,not racism
"واش كتحلم يكون عندك متابعين فاليوتيوب 🤩
ولكن كتلقى صعوبة باش تجمعهم🥺
موقع تخصيب دار ليك الحل , أكبر موقع عربي و عالمي لتبادل المحتويات ... 
انضم الأن ...
يمنع التواصل عبر الخاص أو الشوشرة حتى لا تتعرض للطرد .
https://chat.whatsapp.com/GX5DN7jskXVLYnPk0VYnjt",not racism
هدا مسيحي مشي مسلم راه صليب فوق راسو ,not racism
و حق رب الا حياتي كاملة ونا باغي نفهم شنو تتبغيو توصلو بهاد ليبوسط بحال هكا..اش جاب الجمال لهضرة مغرب زبرطمو و الجهل.,Racism
هاذ البوسط فالأصل تنقيص لهاذ الإنسانة الساط.. راه إعاقة الدماغ أقوى  بكثير من إعاقة الجسد وهذا تينطبق على دماغك المعاق,not racism
اللي كلا هادي كنقوليك مبروك مغديش تمشي لتجنيد هههه,not racism
"فعلا ماكذبتيش هارب ...
بصح هارب ليه",not racism
"كلهم عملاء ! لن يحكم احد لم يكسب رضا اليهود! 

و الدليل لا احد يحكم بشرع الله بل كل اخترع له دستور بعيد عن ما يأمر به خالقنا الله سبحانه و تعالى! 
#لا_بذيل_على_الاسلام_لا_بديل_على_القرآن",not racism
هاري ولد الشعب ولكن الخياري ولد ..... بة . الهضرة فراسكم,not racism
لي فراس مالو المليارات بافي ولد الشعب ههههههه معرفت منين جابتو هاد كلمة ولد الشعب  يعني لي لاباس عليه ولد الاسد مثلا ولي مقودة عليه ولد الشعب 🤔🤔🤔🤔,not racism
ان لله و ان اليه راجعون الله يرحمها,not racism
"المغرب ضد الجزائر
4-0",Racism
"                       Leo Messi  هاد السيد مسكين بلاصتو فأحسن الفراقي فالعالم و لكن الظروف دارتها بيه راهو دابا كيعاون واحد السيكليس فالكاراج.
#لنتعاطف_مع_ليو",not racism
بغيت نطاغيه لقيتيو مبلوكيني عاد فهمت علاش القضية ولات شوية صافا ههههه,not racism
"جوابا على بعض التعليقات بخصوص أن كلها كيدير خدمتو
فتشجيعا لهم نعمل هدا نظرا لنفسيتهم مع هده الظرفية...
تانيا كاين فرق بين واحد اختار خدمة انسانية بحال هدي وبين واحد تبع التفاهة وكيربح الفلوس
حاولوا تعطيو لابناءكم القدوة والعبر حتى في متل هده الأمور",not racism
"فعلا ماكذبتيش هارب ...
بصح هارب ليه",not racism
